netName,util,cp,N,totPins,avgPins,bboxArea,bboxAr,bboxX,bboxY,bboxPerim,numPins,numVias
{text_in[108]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[107]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[106]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[105]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[104]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[103]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[102]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[101]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[100]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[99]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[98]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[97]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[96]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[95]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[94]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[93]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[92]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[91]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[90]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[89]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[88]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[87]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[86]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[85]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[84]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[83]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[82]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[81]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[80]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[79]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[78]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[77]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[76]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[75]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[74]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[73]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[72]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[71]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[70]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[69]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[68]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[67]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[66]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[65]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[64]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[63]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[62]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[61]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[60]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[59]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[58]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[57]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[56]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[55]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[54]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[53]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[52]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[51]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[50]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[49]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[48]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[47]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[46]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[45]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[44]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[43]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[42]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[41]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[40]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[39]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[38]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[37]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[36]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[35]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[34]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[33]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[32]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[31]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[30]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[29]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[28]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[27]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[26]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[25]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[24]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[23]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[22]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[21]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[20]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[19]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[18]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[17]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
